Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province (E),Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance (E),Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture (E),Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Land Use,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program
INC2017-154,Release of Substance,9/24/2017,Prince George,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,54.28836951,-122.6166373,125.4,Natural Gas - Sweet,Gas,No,2017,9/24/2017 3:00,9/24/2017 3:00,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Excessive wear and tear, Improper loading or rate of use","Engineering and Planning, Maintenance",No pipeline interruption,Transmission,Operation,SCADA,2/5/2018,Yes,No,Release of Substance,Natural Gas - Sweet,125.4,No,No,,,,,,,,,,,0,OPR/PPR,"SPECTRA - 36 LOOP""","508.00000000, 762.00000000, 914.40000000",1105.13746,Natural Gas,SUMMIT LAKE (#27),,54.28836951,-122.6166373,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Instrumentation and controls",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-153,Release of Substance,9/22/2017,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.867982,-109.033349,0.002,Natural Gas Liquids,Gas,No,2017,9/22/2017 7:54,9/22/2017 7:54,"Substandard Acts, Failure to identify hazard or risk",Incorrect Operation,"Personal factors, Lack of knowledge, Inadequate initial training;Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Short-term interruption,Transmission,Operation,SCADA,1/8/2018,Yes,No,Release of Substance,Natural Gas Liquids,0.002,No,No,,,,,,,,,,,0,OPR,Line 1,"508.00000000, 864.00000000",1255.999121,Crude Oil,,,,,Canada,Yes,No,No,No,Agricultural Cropland,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Ball, Body;Pipeline, Valve, Ball, Thread",EES129,NPS 3/4,Carbon Steel,,100,,,,1440,,,,,,1981,1981,,,,,,,Epoxy,Intact,Plant Applied,2003,No,Rebuilt,11/15/2017,Yes,,,No,Yes,,,No
INC2017-151,Operation Beyond Design Limits,9/22/2017,Clarkson,Ontario,Trans-Northern Pipelines Inc.,Closed,43.506022,-79.615112,Not Applicable,Not Applicable,Not Applicable,No,2017,,9/20/2017 12:00,"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate warning system",External Interference,"Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,Long-term interruption,Transmission,Operation,SCADA,4/4/2018,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Clarkson Lateral,273.1,2.26444404,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,"INC2017-120, INC2017-157, INC2017-158","Station/Facility, Pumping, Piping, Body",,NPS 8,Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-150,Operation Beyond Design Limits,9/22/2017,Montreal East,Quebec,Trans-Northern Pipelines Inc.,Closed,45.62532117,-73.53774278,Not Applicable,Not Applicable,Not Applicable,No,2017,,9/20/2017 12:00,"Substandard Conditions, Inadequate or improper protective equipment",External Interference,"Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,Short-term interruption,Transmission,Operation,SCADA,4/4/2018,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Station/Facility, Pumping, Piping, Body",,NPS 10,Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-149,Operation Beyond Design Limits,9/22/2017,Montreal East,Quebec,Trans-Northern Pipelines Inc.,Closed,45.62532117,-73.53774278,Not Applicable,Not Applicable,Not Applicable,No,2017,,9/20/2017 12:00,"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate warning system",External Interference,"Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,No pipeline interruption,Transmission,Operation,SCADA,4/4/2018,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Station/Facility, Pressure regulating, Fitting;Station/Facility, Pumping, Piping, Body",,NPS 10,Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-148,Operation Beyond Design Limits,9/21/2017,Milltown,Ontario,Trans-Northern Pipelines Inc.,Closed,44.217868,-77.197155,Not Applicable,Not Applicable,Not Applicable,No,2017,,9/7/2017 12:00,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;External Interference, Natural or Environmental Forces","Engineering and Planning, Maintenance, Natural or Environmental Forces",No pipeline interruption,Transmission,Operation,Inspection Site Visit,9/18/2018,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,Water / Wetlands,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,"INC2017-085, INC2017-133","Pipeline, Pipe, Body",,NPS 10,Carbon Steel,317 - X46,,7.8 mm = 0.307 in,,,,,,,,,,,,,,,,External,Coal Tar Enamel Narrow,,,,No,,,No,,,No,No,,,No
INC2017-147,Operation Beyond Design Limits,9/19/2017,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14630285,-120.6691693,Not Applicable,Not Applicable,Not Applicable,No,2017,9/18/2017 11:23,9/18/2017 11:23,"Substandard Conditions, Inadequate instructions or procedures",External Interference,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,No pipeline interruption,Processing,Operation,Employee / Contractor (Onsite),12/15/2017,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,"26 BC Trunk Pipeline - Downstream""",660.4,59.6331221,Natural Gas Sour,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,46 or more dwelling units,,Level I,Standard Review - 168 days,No,,"Pipeline, Pipe, Body",,NPS 24,Carbon Steel,,,,,,6894,6067,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-146,Serious Injury (CER or TSB),9/19/2017,100 Mile House,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,51.550986,-121.269628,Not Applicable,Not Applicable,Not Applicable,Yes,2017,9/19/2017 9:50,9/19/2017 9:50,"Substandard Acts, Failure to identify hazard or risk",Incorrect Operation,"Personal factors, Physical or physiological stress, Blood sugar insufficiency",Human Factors,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),12/20/2017,No,No,Serious Injury (CER or TSB),,,,No,,,,,Lost Consciousness,1,,No,,,0,OPR,Southern Mainline,,,,,Meter,,,Canada,No,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level II,Category B,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-145,Fire,9/16/2017,"Dawson Creek, British Columbia",British Columbia,NOVA Gas Transmission Ltd.,Closed,55.956023,-120.672487,Not Applicable,Not Applicable,Not Applicable,No,2017,9/15/2017 11:00,9/15/2017 11:00,"Damage or deterioration mechanism, Other Causes, Unknown;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Fire and explosion hazards;Substandard Conditions, Presence of harmful materials","External Interference, Incorrect Operation, Other Causes","Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks",Tools and Equipment,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),12/19/2017,No,No,Fire,,,,No,,Other Event (Nature or 3rd Party),,,,,,,,,0,OPR,TOWERBIRCH,"762.00000000, 914.00000000",86.15350505,Natural Gas,,,,,Canada,No,No,Yes,No,Forests,10 or fewer dwelling units,Tower Lake KP28 + 226,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-144,Operation Beyond Design Limits,9/12/2017,Multiple locations in Ontario,Ontario,Trans-Northern Pipelines Inc.,Closed,43.865025,-79.378924,Not Applicable,Not Applicable,Not Applicable,No,2017,,8/13/2017 12:00,"Substandard Acts, Failure to check or monitor;Substandard Conditions, Inadequate information or data","External Interference, Incorrect Operation","Job or system factors, Inadequate communications, Inadequate communication of safety and health data, regulations or guidelines ",Failure in communication,No pipeline interruption,Transmission,Operation,SCADA,11/17/2017,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Pipeline, Pipe, Body",,,Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-143,Operation Beyond Design Limits,9/12/2017,"Oakville, Ontario",Ontario,Trans-Northern Pipelines Inc.,Closed,43.394589,-79.744588,Not Applicable,Not Applicable,Not Applicable,No,2017,4/20/2016 7:39,4/20/2016 7:39,"Substandard Conditions, Defective tools, equipment or materials;Substandard Conditions, Presence of harmful materials",External Interference,"Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications",Tools and Equipment,No pipeline interruption,Transmission,Operation,SCADA,11/17/2017,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,11 to 45 dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Pipeline, Pipe, Body",,NPS 16,Carbon Steel,359 - X52,,7.1 mm = 0.280 in,,,6453.7,,6977.74,,,1977,1977,1977,,,,,,,Extruded Polyethylene,,,,No,,,No,,,No,No,,,No
INC2017-142,Fire,9/12/2017,"Moosomin, Saskatchewan ",Saskatchewan,TransCanada PipeLines Limited,Closed,50.23066354,-101.676235,Not Applicable,Not Applicable,Not Applicable,No,2017,9/11/2017 10:40,9/11/2017 10:40,"Substandard Acts, Failure to check or monitor;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Maintenance, Tools and Equipment",No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),1/2/2018,No,No,Fire,,,,No,,Welding or Cutting,,,,,,,,,0,OPR,LINE 100-7,1219.2,181.7646027,Natural Gas,,,,,Canada,Yes,No,No,No,Agricultural Cropland,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-141,Operation Beyond Design Limits,9/12/2017,"Bowmanville, Ontario",Ontario,Trans-Northern Pipelines Inc.,Closed,43.94553832,-78.66202139,Not Applicable,Not Applicable,Not Applicable,No,2017,10/25/2015 5:01,10/25/2015 5:01,"Substandard Acts, Failure to react or correct;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,No pipeline interruption,Transmission,Operation,SCADA,11/17/2017,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,BOWMANVILLE STATION,,43.94553832,-78.66202139,Canada,Yes,No,No,No,Developed Land - Small Commercial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Pipeline, Pipe, Body",,NPS 10,Carbon Steel,317 - X46,30,7.8 mm = 0.307 in,,,6619,,6977.74,,,1951,1952,1952,,,,,,,Polyethylene Tape Wrap,,,,No,,,No,,,No,No,,,No
INC2017-140,Operation Beyond Design Limits,9/12/2017,"Ingleside, Ontario",Ontario,Trans-Northern Pipelines Inc.,Closed,44.9970876,-75.0124647,Not Applicable,Not Applicable,Not Applicable,No,2017,7/20/2015 8:40,7/20/2015 8:40,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Personal factors, Lack of knowledge, Unspecified","Engineering and Planning, Human Factors",No pipeline interruption,Transmission,Operation,SCADA,11/17/2017,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,FARRAN'S POINT STATION,,44.9970876,-75.0124647,Canada,Yes,No,No,No,Developed Land - Residential,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Pipeline, Pipe, Body",,NPS 10,Carbon Steel,317 - X46,30,7.8 mm = 0.307 in,,,6619,,7143.22,,,1951,1952,1952,,,,,,,Polyethylene Tape Wrap,,,,No,,,No,,,No,No,,,No
INC2017-139,Operation Beyond Design Limits,9/12/2017,Hamilton and Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.76842553,-79.48533571,Not Applicable,Not Applicable,Not Applicable,No,2017,5/13/2015 12:17,5/13/2015 12:17,"Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,No pipeline interruption,Transmission,Operation,SCADA,11/2/2017,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,NORTH TORONTO STATION,,43.76842553,-79.48533571,Canada,Yes,No,No,No,Developed Land - Industrial,11 to 45 dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Pipeline, Pipe, Body",,NPS 10,Carbon Steel,317 - X46,30,7.8 mm = 0.307 in,,,6453.7,,7026,,,1950,1951,1951,,,,,,,Polyethylene Tape Wrap,,,,No,,,No,,,No,No,,,No
INC2017-138,Operation Beyond Design Limits,9/12/2017,Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.76842553,-79.48533571,Not Applicable,Not Applicable,Not Applicable,No,2017,1/30/2015 1:01,1/30/2015 2:00,"Substandard Acts, Failure to communicate or coordinate;Substandard Conditions, Inadequate or improper protective equipment","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,No pipeline interruption,Transmission,Operation,SCADA,11/17/2017,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,NORTH TORONTO STATION,,43.76842553,-79.48533571,Canada,Yes,No,No,No,Developed Land - Industrial,11 to 45 dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Pipeline, Pipe, Body",,NPS 8,Carbon Steel,241 - B,30,7.8 mm = 0.307 in,,,6619,,7088,,,,1951,1952,,,,,,,Coal Tar Enamel Narrow,,,,No,,,No,,,No,No,,,No
INC2017-137,Release of Substance,9/11/2017,Hudson's Hope BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.22,-122.08,350347,Natural Gas - Sweet,Gas,Yes,2017,9/11/2017 2:00,9/11/2017 2:00,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Defective tools, equipment or materials","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Human Factors, Maintenance, Standards and Procedures",No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),1/26/2018,Yes,No,Release of Substance,Natural Gas - Sweet,350347,No,No,,,,,,,,,,,5,OPR,"30 Fort Nelson Mainline""",762,72.67380765,Natural Gas Sweet,,Meter,,,Canada,No,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Electrical power system apparatus",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-136,Fire,9/9/2017,"Rapid City,  MB",Manitoba,TransCanada PipeLines Limited,Closed,50.48066052,-105.867038,Not Applicable,Not Applicable,Not Applicable,No,2017,9/8/2017 7:10,9/8/2017 7:10,"Substandard Conditions, Defective tools, equipment or materials",External Interference,"Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks",Tools and Equipment,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),10/22/2017,No,No,Fire,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,LINE 100-7,1219.2,181.7646027,Natural Gas,,Meter,,,Canada,No,No,No,Yes,Agricultural Cropland,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-135,Operation Beyond Design Limits,9/7/2017,Montreal East,Quebec,Trans-Northern Pipelines Inc.,Closed,45.630971,-73.531765,Not Applicable,Not Applicable,Not Applicable,No,2017,11/15/2016 7:56,9/7/2017 12:00,"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate warning system;Substandard Conditions, Inadequate information or data;Substandard Conditions, Inadequate preparation or planning",External Interference,"Personal factors, Mental or psychological stress, Extreme judgment or decision demands;Personal factors, Lack of knowledge, Misunderstood directions;Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate engineering, Inadequate evaluation of changes","Engineering and Planning, Human Factors",No pipeline interruption,Gathering,Operation,SCADA,12/22/2017,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,"Pipeline, Pipe, Body",,NPS 10,Carbon Steel,317 - X46,,7.8 mm = 0.307 in,,,720,,,,,,1952,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-134,Operation Beyond Design Limits,9/7/2017,Hudson,Quebec,Trans-Northern Pipelines Inc.,Closed,45.451382,-74.059042,Not Applicable,Not Applicable,Not Applicable,No,2017,,8/24/2017 12:00,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;External Interference, Natural or Environmental Forces","Engineering and Planning, Maintenance, Natural or Environmental Forces",No pipeline interruption,Transmission,Operation,Inspection Site Visit,10/15/2019,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,Water / Wetlands,10 or fewer dwelling units, km 1.05 to km 1.057,Level I,Standard Review - 168 days,No,INC2017-085,"Pipeline, Pipe, Body;Pipeline, Pipe, Bend, Body",not specified,NPS 10,Carbon Steel,317 - X46,,7.8 mm = 0.307 in,,,,,,,,,,,,,,,,External,Coal Tar Enamel Narrow,,,,No,,,No,,,No,Yes,,,No
INC2017-133,Operation Beyond Design Limits,9/7/2017,Laval,Quebec,Trans-Northern Pipelines Inc.,Closed,45.62254,-73.6561,Not Applicable,Not Applicable,Not Applicable,No,2017,,8/24/2017 12:00,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;External Interference, Natural or Environmental Forces","Engineering and Planning, Maintenance, Natural or Environmental Forces",No pipeline interruption,Transmission,Operation,Inspection Site Visit,9/14/2018,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,No,No,No,Water / Wetlands,46 or more dwelling units,,Level I,Standard Review - 168 days,No,"INC2017-085, INC2017-148, INC2017-160","Pipeline, Pipe, Body",,NPS 16,Carbon Steel,359 - X52,,8.1 mm = 0.318 in,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-132,Operation Beyond Design Limits,9/5/2017,Wonowan,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.73,-121.81,Not Applicable,Not Applicable,Not Applicable,No,2017,6/2/2017 11:44,6/2/2017 11:44,"Substandard Acts, Failure to communicate or coordinate",Incorrect Operation,"Job or system factors, Inadequate communications, Inadequate communication between different organizations",Failure in communication,No pipeline interruption,Gathering,Maintenance,SCADA,1/8/2018,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,"18 Alaska Highway Trunk Pipeline""","457.00000000, 457.20000000",32.93305668,Natural Gas Sour,,,,,Canada,Yes,No,No,No,Forests,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,"Station/Facility, Pressure regulating, Fitting",,NPS 18,Carbon Steel,290 - X42,20,8.7 mm = 0.344 in,,,6894.7,6067,6108.7,,,,1958,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-131,Serious Injury (CER or TSB),9/3/2017,Pink Mountain,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.727,-122.273,Not Applicable,Not Applicable,Not Applicable,Yes,2017,9/2/2017 9:00,9/2/2017 7:00,"Substandard Acts, Using equipment improperly",Incorrect Operation,"Personal factors, Lack of knowledge, Inadequate orientation;Personal factors, Lack of skill, Inadequate review instruction;Job or system factors, Inadequate leadership and/or supervision, Lack of supervisory or management job knowledge;Job or system factors, Inadequate purchasing, Inadequate communication of safety and health data;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks","Human Factors, Inadequate Procurement, Inadequate Supervision, Tools and Equipment",No pipeline interruption,Transmission,Construction,Other Control System,1/5/2018,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,,No,,,0,OPR,HIGH PINE EXPANSION,1067,32.30675088,Natural Gas Sweet,,,,,Canada,No,No,No,No,Forests,10 or fewer dwelling units,7,Level II,Category B,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-130,Fire,9/1/2017,"Moosomin, SK",Saskatchewan,TransCanada PipeLines Limited,Closed,50.23066354,-101.676235,Not Applicable,Not Applicable,Not Applicable,No,2017,9/1/2017 6:30,9/1/2017 6:30,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),10/22/2017,No,No,Fire,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,LINE 100-7,1219.2,181.7646027,Natural Gas,,,,,Canada,No,No,Yes,No,Agricultural Cropland,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2017-129,Operation Beyond Design Limits,8/31/2017,Montreal East,Quebec,Trans-Northern Pipelines Inc.,Closed,45.630971,-73.531765,Not Applicable,Not Applicable,Not Applicable,No,2017,11/8/2016 12:57,8/30/2017 12:00,"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate warning system;Substandard Conditions, Inadequate information or data;Substandard Conditions, Inadequate preparation or planning",External Interference,"Personal factors, Mental or psychological stress, Extreme judgment or decision demands;Personal factors, Lack of knowledge, Misunderstood directions;Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Inadequate communications, Inadequate horizontal communication between peers;Job or system factors, Inadequate communications, Inadequate communication between work groups ","Engineering and Planning, Failure in communication, Human Factors",No pipeline interruption,Transmission,Operation,SCADA,12/22/2017,No,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,INC2017-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
